the_geom,ObjectID,Name,Address
POINT (-90.109503702825 29.995878836766),133,Grace Lutheran Church,5800  CANAL BLVD
POINT (-90.07895248493 29.978876616323),316,Sisters of St. Josephs,1537  CRETE ST
POINT (-90.128115275315 29.948396648045),345,St Matthew United Church of Christ,1333  CARROLLTON AVE
POINT (-90.109579979619 29.940890297141),105,First Unitarian Universalist Church,2903  JEFFERSON AVE
POINT (-90.040247677319 29.968553705274),145,Greater Liberty Baptist Church,1230  DESIRE ST
POINT (-90.066455681337 29.975898586076),255,Kingdom Hall of Jehovah's Witnesses,1831  AP TUREAUD AVE
POINT (-90.08103092456 29.941983791333),184,Israelites Baptist Church,2100  MARTIN LUTHER KING JR BLVD
POINT (-90.039575263071 29.966041369937),163,Holy Angels Convent,3500  ST CLAUDE AVE
POINT (-90.013020009022 29.970891090303),155,Hartzell United Methodist Church,2014  CAFFIN AVE
POINT (-90.092850943782 29.927389908316),93,First Baptist Church,3500  ST CHARLES AVE
POINT (-90.107448468999 29.979309858904),260,House of Prayer Church,4771  CANAL ST
POINT (-90.117968940087 29.925205852182),328,Parker Memorial United Methodist Church,5801  PERRIER ST
POINT (-90.06124367872 29.971619355091),112,Galatia Baptist Church,1821 N VILLERE ST
POINT (-90.033132793832 29.963544552457),62,Church of the Living God-Unity,4234 N RAMPART ST
POINT (-89.986947452338 29.917926129851),293,Saint Stephen Lutheran Church,6310  BERKLEY DR
POINT (-90.074551380306 29.929041797627),32,Blessed Francis Seelos Shrine,919  JOSEPHINE ST
POINT (-90.05025411919 29.970572749044),107,First Pilgrim Baptist Church,1228  ARTS ST
POINT (-90.049573008399 29.994538475787),252,New Orleans First Church of the Nazarene,3501  FRANKLIN AVE
POINT (-90.134491410421 29.947369900356),368,St. Joan of Arc Catholic Church,901  CAMBRONNE ST
POINT (-90.081575227158 29.957366782057),330,St Joseph Catholic Church,1802  TULANE AVE
POINT (-90.104639649024 29.926036489408),329,St George's Episcopal Church,4600  ST CHARLES AVE
POINT (-90.04370168657 29.971599989788),251,New Light Baptist Church,1435  FELICIANA ST
POINT (-90.109771600693 29.919559627646),33,Blessed Sacrament Catholic Church,5023  CONSTANCE ST
POINT (-90.046115420247 30.024972881703),213,Morning Star Missionary Baptist,6339  PROVIDENCE PL
POINT (-89.946873318492 29.913426312607),405,Wat Wimuttayaram Buddhist Meditation Center,1701  STANTON RD
POINT (-90.012409593631 30.012306545929),284,Ray Avenue United Methodist Church,4360  RAY AVE
POINT (-90.082905734082 29.931185867099),267,Our Mother of Perpetual Help,2507  PRYTANIA ST
POINT (-90.063550978367 29.981520159662),400,United Fellowship Full Gospel,2401  ANNETTE ST
POINT (-90.095907902992 29.947153512967),278,Pleasant Hill Baptist Church,2606 S GALVEZ ST
POINT (-90.110924721837 29.957349650698),353,St Peter's Baptist Church,3035  BROADWAY ST
POINT (-90.095469028384 29.935740939289),140,Greater Bright Morning Star Baptist Church,2418  LOUISIANA AVE
POINT (-90.021677886205 29.959225585987),286,Reaping the Harvest,5123  DAUPHINE ST
POINT (-90.102622076568 29.949369180207),36,Blessed Trinity Parish,4230 S BROAD ST
POINT (-90.107128600648 29.977722353978),359,St. Anthony of Padua Church,4640  CANAL ST
POINT (-90.063181080743 29.986760842053),204,Lion of Judah MBC,2844  ST ANTHONY ST
POINT (-89.99797107648 29.922078474985),422,St. Andrew the Apostle,3105  ETON ST
POINT (-90.070396671231 29.950703587948),22,Baha'I Faith of New Orleans,333  ST CHARLES AVE
POINT (-90.088919636219 29.940916860119),313,Second Mt Everest Baptist Church,2528  FIRST ST
POINT (-90.076739541487 29.945669984311),15,Archdiocese of New Orleans,1000 S HOWARD AVE
POINT (-89.984282673294 29.923915240719),197,Jerusalem Full Gospel Church of God in Christ,6400  GENERAL MEYER AVE
POINT (-90.080511223825 29.943372267133),153,Greater Mt Rose Baptist Church,1318  SIMON BOLIVAR AVE
POINT (-90.089869277826 29.958387153176),135,First Shiloh Missionary Baptist Church,2507  PERDIDO ST
POINT (-90.050267059147 29.953416437798),220,Mount Olivet Church,530  PELICAN AVE
,218,Fairview Missionary Baptist Church,200  ANDRY ST
POINT (-90.089932817019 29.934496327035),253,Noah's Ark Missionary Baptist Church,2840 S SARATOGA ST
POINT (-90.044431378016 30.02259370281),165,Holy Cross Lutheran Church,6154  PRESS DR
POINT (-90.035289499273 29.970409769027),139,Greater Hill of Zion Baptist Church,1520  ALVAR ST
POINT (-90.037774538623 29.980570117982),407,Vineyard Baptist Church,2400  PIETY ST
POINT (-90.062616427973 29.97863075321),310,Second Mt Olive Baptist Church,2108  ST ANTHONY ST
POINT (-90.064425349447 29.968428675558),263,Original Morning Star Baptist Church,1462  MARAIS ST
POINT (-90.038321327571 29.981859601464),337,St Luke African Methodist Episcopal Church,2500  LOUISA ST
POINT (-90.060253472459 30.005883921449),65,Church of Christ,4636  ELYSIAN FIELDS AVE
POINT (-90.08421460528 29.935631145927),268,Peck Wesley United Methodist Church,2309  DRYADES ST
POINT (-90.104914927252 29.94052672525),10,Annunciation Mission,4505  CLAIBORNE AVE
POINT (-90.062654446523 30.021328384054),264,Our Lady of Lavang Mission,6054  VERMILLION BLVD
POINT (-90.052942763609 29.975808685604),351,St Roch Community Church,1738  ST ROCH AVE
POINT (-90.076085567392 29.935475192161),257,Norwegian Seamen's Church,1772  PRYTANIA ST
POINT (-90.061375220846 30.019068053387),185,Iglesia Bautista Getsemani,5834  ELYSIAN FIELDS AVE
POINT (-90.117368592003 29.935929399103),241,New Hope Baptist Church,1807  LASALLE ST
POINT (-90.091339998792 29.93714029934),98,First House of Prayer Baptist,2826  LASALLE ST
POINT (-90.126761130714 29.936697970442),324,St Charles Avenue Baptist Church,7100  ST CHARLES AVE
POINT (-90.103346790582 29.935917071765),5,All Nations Fellowship,2524  NAPOLEON AVE
POINT (-90.007399328555 29.969773467724),246,New St Matthew Baptist Church,2041  GORDON ST
POINT (-90.119476865101 29.954188478435),84,Faith Baptist Church,2318  FERN ST
